Exporter,Importer,Value
Czechia,Italy,42506.0
Spain,Bulgaria,42454.0
Singapore,Israel,42174.0
Australia,Mauritius,42130.0
Serbia,Slovenia,41864.0
Netherlands,Switzerland,41760.0
France,Romania,41529.0
Thailand,Iran (Islamic Republic of),41243.0
New Zealand,Australia,41153.0
Austria,Switzerland,41056.0
Bulgaria,Tunisia,40878.0
Italy,Spain,40832.0
Canada,Philippines,40673.0
Spain,Denmark,40614.0
Russian Federation,Algeria,40475.0
Poland,Latvia,40442.0
Germany,Slovakia,40417.0
Thailand,Iraq,40401.0
New Zealand,"China, Hong Kong SAR",40153.0
Romania,Syrian Arab Republic,39962.0
Lithuania,Turkey,39946.0
Brazil,Mexico,39942.0
India,France,39863.0
Russian Federation,Germany,39711.0
United States of America,Qatar,39474.0
Germany,Slovenia,39421.0
Hungary,France,39367.0
Spain,Czechia,39343.0
Croatia,Bosnia and Herzegovina,39250.0
Spain,Algeria,39211.0
Netherlands,Portugal,39194.0
Cambodia,Malaysia,39185.0
Pakistan,Guinea,39150.0
Australia,Morocco,38965.0
Russian Federation,Sri Lanka,38964.0
Spain,Spain,38955.0
United Arab Emirates,Benin,38870.0
Brazil,Paraguay,38848.0
Turkey,United States of America,38846.0
Pakistan,Côte d'Ivoire,38508.0
Australia,Mexico,38300.0
Brazil,Peru,38249.0
France,Jordan,38112.0
Austria,Japan,38058.0
Russian Federation,Mozambique,37937.0
Sweden,United States of America,37905.0
Ireland,Belgium,37858.0
Pakistan,United States of America,37627.0
Pakistan,Sri Lanka,37609.0
Thailand,Republic of Korea,37584.0
United Kingdom,"China, mainland",37573.0
Ireland,Italy,37530.0
Brazil,Turkey,37475.0
Canada,Malaysia,37377.0
Canada,Oman,37174.0
Germany,Democratic Republic of the Congo,37145.0
Australia,Israel,36968.0
Russian Federation,Senegal,36967.0
Thailand,Belgium,36760.0
Russian Federation,Rwanda,36755.0
Senegal,Mali,36636.0
Netherlands,Singapore,36576.0
Thailand,Burkina Faso,36486.0
Paraguay,Uruguay,36276.0
New Zealand,"China, Taiwan Province of",36085.0
France,United Arab Emirates,35982.0
Viet Nam,United States of America,35903.0
India,Angola,35818.0
Canada,Thailand,35647.0
Romania,Sudan,35353.0
United States of America,New Zealand,35244.0
Finland,Sweden,35204.0
Romania,Philippines,35086.0
France,Philippines,35072.0
Argentina,Bolivia (Plurinational State of),35059.0
France,Congo,35037.0
Ukraine,Republic of Moldova,35013.0
Brazil,Benin,34966.0
Thailand,Russian Federation,34848.0
United States of America,Lithuania,34812.0
Canada,Kenya,34733.0
Bulgaria,Turkey,34641.0
Namibia,South Africa,34444.0
Netherlands,Bosnia and Herzegovina,34369.0
India,Algeria,34298.0
Bulgaria,Saudi Arabia,34266.0
Argentina,Russian Federation,34260.0
Saudi Arabia,Bahrain,34256.0
Poland,Belgium,34155.0
Cambodia,Germany,34114.0
New Zealand,Philippines,34112.0
Russian Federation,Kuwait,34066.0
Canada,Switzerland,33944.0
Italy,Switzerland,33856.0
France,Turkey,33849.0
Argentina,Oman,33834.0
Denmark,Republic of Korea,33827.0
Brazil,Lebanon,33692.0
Austria,Ukraine,33656.0
Hungary,Spain,33601.0
Pakistan,Mauritania,33521.0
Finland,Saudi Arabia,33496.0
Poland,Ireland,33302.0
Germany,Philippines,33209.0
Sweden,Norway,33174.0
Austria,Czechia,33147.0
United Kingdom,Saudi Arabia,33100.0
Thailand,Gabon,33083.0
Chile,United Kingdom,33070.0
Germany,Bulgaria,32974.0
Croatia,Slovenia,32885.0
Ukraine,Kazakhstan,32875.0
Philippines,Japan,32748.0
Uruguay,Mexico,32743.0
Pakistan,France,32728.0
Argentina,Netherlands,32657.0
Brazil,Sierra Leone,32530.0
Belgium,Lithuania,32514.0
Viet Nam,Mexico,32461.0
Ireland,"China, mainland",32320.0
Republic of Moldova,Switzerland,31894.0
Netherlands,Angola,31814.0
Sweden,Netherlands,31801.0
Cambodia,"China, mainland",31690.0
United Kingdom,Denmark,31682.0
Brazil,Nicaragua,31671.0
Brazil,Ghana,31598.0
Zambia,Zimbabwe,31480.0
Republic of Moldova,Lebanon,31456.0
Ireland,Sweden,31353.0
Brazil,Canada,31311.0
United Arab Emirates,Iraq,31150.0
Poland,Croatia,31001.0
Guyana,Panama,30974.0
Bulgaria,United Kingdom,30938.0
United States of America,Gabon,30879.0
Germany,United Republic of Tanzania,30717.0
India,"China, Taiwan Province of",30623.0
United Kingdom,Poland,30614.0
Saudi Arabia,Kuwait,30573.0
Czechia,Hungary,30537.0
Austria,Republic of Korea,30485.0
Chile,France,30469.0
Brazil,Gambia,30417.0
Germany,Kenya,30391.0
Latvia,Sweden,30351.0
"China, Hong Kong SAR","China, mainland",30330.0
